"","Pitch_Sequence_01","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"1","CB-H-I",12631,8610,2111,3895,1902,702,2452,1122,380,0.346290871664951,4374
"2","CB-H-M",6699,4676,1201,2098,1026,351,1536,417,232,0.315562024182714,2113.95
"3","CB-H-O",5186,3590,935,1578,757,320,1177,370,127,0.297956035480139,1545.2
"4","CB-L-I",6286,4460,1026,2067,1074,293,1300,466,206,0.343755965637926,2160.85
"5","CB-L-M",11314,7872,1786,3809,1785,492,2536,796,325,0.322861057097401,3652.85
"6","CB-L-O",32129,21694,5020,10266,4890,1518,6731,3408,923,0.337550188303402,10845.15
"7","CB-M-I",6701,4656,1129,2175,1008,344,1596,347,231,0.319407551111774,2140.35
"8","CB-M-M",7248,5236,1255,2387,1222,372,1651,277,248,0.317735927152318,2302.95
"9","CB-M-O",9103,6391,1517,2944,1420,510,2075,559,241,0.306036471492914,2785.85
"10","CH-H-I",4002,2801,693,1274,570,264,748,278,126,0.338793103448276,1355.85
"11","CH-H-M",1918,1444,379,639,299,127,361,91,59,0.318039624608968,610
"12","CH-H-O",1594,1145,307,494,240,104,327,110,40,0.306869510664994,489.15
"13","CH-L-I",4609,3168,708,1560,697,203,1028,356,144,0.330592319375136,1523.7
"14","CH-L-M",5184,3710,806,1806,852,246,1086,344,164,0.330314429012346,1712.35
"15","CH-L-O",8900,6278,1489,3009,1328,452,1634,909,291,0.345943820224719,3078.9
"16","CH-M-I",3275,2347,527,1088,538,194,694,182,117,0.328717557251908,1076.55
"17","CH-M-M",2467,1905,462,894,416,133,456,86,98,0.336258613700851,829.55
"18","CH-M-O",2545,1856,461,888,365,142,523,147,64,0.303339882121807,772
"19","FB-H-I",83269,58805,13989,26434,12445,5937,15846,5883,2149,0.318837742737393,26549.3
"20","FB-H-M",58118,41491,10969,17904,8914,3704,13059,3072,1614,0.295958222925772,17200.5
"21","FB-H-O",62139,42950,11475,18565,9371,3539,13933,4748,1642,0.306293149229952,19032.75
"22","FB-L-I",54637,39437,7893,20808,8499,2237,10606,3999,1456,0.326899353917675,17860.8
"23","FB-L-M",55640,40422,8427,20862,8788,2345,11735,3105,1398,0.308514557872035,17165.75
"24","FB-L-O",123641,86321,19530,41993,19049,5749,25419,11053,3206,0.324607937496462,40134.85
"25","FB-M-I",58934,44139,9564,21745,9604,3226,11310,2769,1701,0.313955441680524,18502.65
"26","FB-M-M",51692,38258,9134,18134,8456,2534,11473,1535,1493,0.300629691248162,15540.15
"27","FB-M-O",78211,54853,13116,25855,12216,3666,18231,4527,1844,0.296721688765007,23206.9
"28","SL-H-I",19685,13560,3566,5734,2925,1335,4203,1449,598,0.32242062484125,6346.85
"29","SL-H-M",18425,13026,3504,5501,2742,1279,4314,915,546,0.296466757123474,5462.4
"30","SL-H-O",21130,14719,3927,6303,3165,1324,4851,1382,565,0.302598201609087,6393.9
"31","SL-L-I",11063,7690,1807,3606,1698,579,2448,806,320,0.321996745909789,3562.25
"32","SL-L-M",26424,18570,4273,8797,4148,1352,6011,1603,733,0.311158416590978,8222.05
"33","SL-L-O",98400,66788,15858,31033,14929,4968,21206,9585,2671,0.323491361788618,31831.55
"34","SL-M-I",12648,8994,2217,3995,1997,785,2913,585,400,0.307562460468058,3890.05
"35","SL-M-M",20183,14796,3831,6364,3331,1270,4542,639,714,0.308308972897983,6222.6
"36","SL-M-O",37042,26408,6519,11970,5803,2116,8174,2125,954,0.296466173532747,10981.7
