"","Pitch_Sequence_01","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"1","CB-H-I",3416,2360,617,1010,531,202,732,271,94,0.319101288056206,1090.05
"2","CB-H-M",7204,4991,1305,2190,1124,372,1660,493,175,0.30846751804553,2222.2
"3","CB-H-O",26998,18827,5010,7948,4447,1422,5166,2860,841,0.345886732350544,9338.25
"4","CB-L-I",29722,19851,4720,9250,4630,1251,5768,3628,903,0.356231074624857,10587.9
"5","CB-L-M",19822,13682,3140,6474,3271,797,4198,1826,571,0.332665724952073,6594.1
"6","CB-L-O",19681,13587,3239,6386,3174,788,4093,1897,530,0.326446826888878,6424.8
"7","CB-M-I",6666,4681,1087,2165,1082,347,1469,455,162,0.310561056105611,2070.2
"8","CB-M-M",9580,6841,1746,3118,1527,450,2251,402,285,0.311022964509395,2979.6
"9","CB-M-O",17515,12074,3035,5429,2877,733,4013,1312,495,0.31552954610334,5526.5
"10","CH-H-I",1818,1305,327,558,295,125,344,151,55,0.332425742574257,604.35
"11","CH-H-M",4829,3631,1035,1470,777,349,900,269,183,0.335876993166287,1621.95
"12","CH-H-O",26023,18768,5283,7714,4204,1567,4407,2708,860,0.347509895092803,9043.25
"13","CH-L-I",18871,13418,3405,6012,3053,948,3249,2057,668,0.364297069577659,6874.65
"14","CH-L-M",24410,17687,4260,8198,4022,1207,4574,1987,747,0.340473166734945,8310.95
"15","CH-L-O",41192,29815,7050,14071,6829,1865,7216,3943,1170,0.335986356574092,13839.95
"16","CH-M-I",3578,2589,668,1155,559,207,752,202,126,0.331651760760201,1186.65
"17","CH-M-M",8094,6193,1574,2645,1470,504,1521,311,353,0.351297257227576,2843.4
"18","CH-M-O",25470,19067,4933,8486,4343,1305,4494,1781,773,0.328494307027876,8366.75
"19","FB-H-I",46913,32789,8637,13085,7282,3785,9020,4281,1367,0.330025792424275,15482.5
"20","FB-H-M",52414,37526,10596,14995,8340,3595,10977,3565,1649,0.317285458083718,16630.2
"21","FB-H-O",150906,105235,29280,43834,24085,8036,29118,15881,4164,0.336852411434933,50833.05
"22","FB-L-I",75975,54773,13326,25190,12746,3511,12824,7664,2383,0.357944060546232,27194.8
"23","FB-L-M",73339,54414,12840,26049,12672,2853,13503,5047,2060,0.33322175104651,24438.15
"24","FB-L-O",134603,97024,22629,46746,22650,4999,24773,12145,3361,0.333352897037956,44870.3
"25","FB-M-I",49187,35832,9110,15384,8123,3215,9615,3284,1527,0.324353995974546,15954
"26","FB-M-M",51735,39176,10632,16690,9182,2672,10359,1910,1745,0.324761766695661,16801.55
"27","FB-M-O",125621,90855,22918,41158,21154,5625,25063,9060,3143,0.32002292610312,40201.6
"28","SL-H-I",11258,8045,1965,3415,1773,892,2092,946,326,0.324409308935868,3652.2
"29","SL-H-M",9638,6801,1728,2898,1549,626,2096,662,297,0.316403818219548,3049.5
"30","SL-H-O",19724,13582,3560,5734,3222,1066,3935,2100,606,0.343624518353275,6777.65
"31","SL-L-I",32475,21505,5219,9753,5143,1390,6897,3543,1069,0.356869899923018,11589.35
"32","SL-L-M",16302,11411,2640,5397,2692,682,3515,1273,506,0.334146117040854,5447.25
"33","SL-L-O",17109,11683,2753,5488,2773,669,3623,1695,485,0.333938278099246,5713.35
"34","SL-M-I",14345,10390,2447,4736,2343,864,2887,914,411,0.322551411641687,4627
"35","SL-M-M",9839,7216,1809,3199,1696,512,2164,399,318,0.317954060371989,3128.35
"36","SL-M-O",15478,10703,2724,4791,2496,692,3560,1121,427,0.317918981780592,4920.75
