"","Pitch_Sequence_01","Pitch_Sequence_02","Pitch_Sequence_03","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"1","CB-H-I","CB-H-I","CB-H-I",12,7,0,2,1,4,0,5,0,0.395833333333333,4.75
"2","CB-H-I","CB-H-I","CB-H-M",3,2,1,1,0,0,0,1,0,0.233333333333333,0.7
"3","CB-H-I","CB-H-I","CB-H-O",1,1,1,0,0,0,0,0,0,0,0
"4","CB-H-I","CB-H-I","CB-L-I",4,3,0,2,1,0,1,0,1,0.9,3.6
"5","CB-H-I","CB-H-I","CB-L-M",9,7,0,4,3,0,1,1,0,0.316666666666667,2.85
"6","CB-H-I","CB-H-I","CB-L-O",13,8,2,5,1,0,4,1,0,0.123076923076923,1.6
"7","CB-H-I","CB-H-I","CB-M-I",7,3,1,1,1,0,1,3,1,0.714285714285714,5
"8","CB-H-I","CB-H-I","CB-M-M",8,4,2,1,1,0,4,0,1,0.475,3.8
"9","CB-H-I","CB-H-I","CB-M-O",4,3,2,1,0,0,1,0,0,0.225,0.9
"10","CB-H-I","CB-H-I","CH-H-I",3,2,0,1,1,0,1,0,0,0.416666666666667,1.25
"11","CB-H-I","CB-H-I","CH-H-O",1,1,0,0,1,0,0,0,0,0,0
"12","CB-H-I","CB-H-I","CH-L-I",4,3,1,1,0,1,1,0,0,0,0
"13","CB-H-I","CB-H-I","CH-L-M",4,4,2,1,1,0,0,0,0,0.625,2.5
"14","CB-H-I","CB-H-I","CH-L-O",5,5,0,3,2,0,0,0,0,0.68,3.4
"15","CB-H-I","CB-H-I","CH-M-I",2,1,0,1,0,0,1,0,0,0.45,0.9
"16","CB-H-I","CB-H-I","CH-M-M",3,2,1,0,0,1,1,0,0,0,0
"17","CB-H-I","CB-H-I","CH-M-O",4,2,0,1,1,0,1,1,0,0.4,1.6
"18","CB-H-I","CB-H-I","FB-H-I",44,20,5,10,5,0,10,10,3,0.538636363636364,23.7
"19","CB-H-I","CB-H-I","FB-H-M",25,16,7,6,2,1,5,4,1,0.386,9.65
"20","CB-H-I","CB-H-I","FB-H-O",26,15,3,9,3,0,5,5,0,0.196153846153846,5.1
"21","CB-H-I","CB-H-I","FB-L-I",12,9,3,3,2,1,1,2,2,0.6,7.2
"22","CB-H-I","CB-H-I","FB-L-M",12,8,3,4,1,0,1,3,0,0.25,3
"23","CB-H-I","CB-H-I","FB-L-O",45,24,5,14,4,1,12,9,2,0.328888888888889,14.8
"24","CB-H-I","CB-H-I","FB-M-I",16,13,3,7,2,1,2,1,1,0.28125,4.5
"25","CB-H-I","CB-H-I","FB-M-M",25,19,7,7,5,0,4,2,0,0.214,5.35
"26","CB-H-I","CB-H-I","FB-M-O",23,9,3,3,2,1,5,9,1,0.4,9.2
"27","CB-H-I","CB-H-I","SL-H-I",2,1,0,1,0,0,0,1,0,0.8,1.6
