"","Pitch_Sequence_01","Pitch_Sequence_02","Pitch_Sequence_03","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"1","CB-H-I","CB-H-I","CB-H-I",1,0,0,0,0,0,1,0,0,0,0
"2","CB-H-I","CB-H-I","CB-L-I",4,2,1,1,0,0,1,1,0,0.175,0.7
"3","CB-H-I","CB-H-I","CB-L-O",1,1,0,1,0,0,0,0,0,0,0
"4","CB-H-I","CB-H-I","CH-H-M",1,1,1,0,0,0,0,0,0,0,0
"5","CB-H-I","CB-H-I","CH-H-O",2,0,0,0,0,0,1,1,0,0.35,0.7
"6","CB-H-I","CB-H-I","CH-L-O",1,1,0,1,0,0,0,0,0,0,0
"7","CB-H-I","CB-H-I","FB-H-I",1,0,0,0,0,0,1,0,0,0,0
"8","CB-H-I","CB-H-I","FB-H-M",2,1,1,0,0,0,0,1,0,0.35,0.7
"9","CB-H-I","CB-H-I","FB-H-O",3,1,0,0,1,0,1,1,0,0.65,1.95
"10","CB-H-I","CB-H-I","FB-L-I",1,1,0,1,0,0,0,0,0,0,0
"11","CB-H-I","CB-H-I","FB-L-M",1,1,0,0,0,1,0,0,0,0,0
"12","CB-H-I","CB-H-I","FB-L-O",1,1,0,0,1,0,0,0,0,0,0
"13","CB-H-I","CB-H-I","FB-M-I",2,0,0,0,0,0,2,0,0,0,0
"14","CB-H-I","CB-H-I","FB-M-O",2,2,1,1,0,0,0,0,1,1,2
"15","CB-H-I","CB-H-I","SL-H-I",1,1,0,1,0,0,0,0,0,0,0
"16","CB-H-I","CB-H-I",NA,6,6,0,4,1,1,0,0,0,0.566666666666667,3.4
"17","CB-H-I","CB-H-M","CB-H-M",1,1,0,0,1,0,0,0,0,0,0
"18","CB-H-I","CB-H-M","CB-L-I",3,3,0,2,0,1,0,0,0,0,0
"19","CB-H-I","CB-H-M","CB-M-M",2,2,0,1,1,0,0,0,0,0,0
"20","CB-H-I","CB-H-M","CH-H-O",1,0,0,0,0,0,0,1,0,0.7,0.7
"21","CB-H-I","CB-H-M","CH-L-M",1,1,0,1,0,0,0,0,0,0.9,0.9
"22","CB-H-I","CB-H-M","CH-M-O",1,0,0,0,0,0,1,0,0,0,0
"23","CB-H-I","CB-H-M","FB-H-I",7,4,0,3,1,0,1,1,0,0.507142857142857,3.55
"24","CB-H-I","CB-H-M","FB-H-M",3,3,1,1,0,1,0,0,1,0.666666666666667,2
"25","CB-H-I","CB-H-M","FB-H-O",4,3,1,1,1,0,1,0,0,0,0
"26","CB-H-I","CB-H-M","FB-L-O",2,2,0,2,0,0,0,0,0,0,0
"27","CB-H-I","CB-H-M","FB-M-M",1,1,1,0,0,0,0,0,0,0.9,0.9
"28","CB-H-I","CB-H-M","SL-M-O",1,1,0,1,0,0,0,0,0,0,0
"29","CB-H-I","CB-H-M",NA,14,14,7,4,2,1,0,0,0,0.128571428571429,1.8
"30","CB-H-I","CB-H-O","CB-H-I",1,1,1,0,0,0,0,0,0,0,0
"31","CB-H-I","CB-H-O","CB-H-M",1,1,1,0,0,0,0,0,0,0,0
"32","CB-H-I","CB-H-O","CB-H-O",3,2,0,2,0,0,0,1,0,0.233333333333333,0.7
"33","CB-H-I","CB-H-O","CB-L-I",3,1,0,1,0,0,2,0,0,0,0
"34","CB-H-I","CB-H-O","CB-L-M",3,1,0,0,1,0,2,0,0,0,0
"35","CB-H-I","CB-H-O","CB-M-I",2,0,0,0,0,0,2,0,0,0,0
"36","CB-H-I","CB-H-O","CB-M-M",4,3,1,1,1,0,1,0,0,0.225,0.9
"37","CB-H-I","CB-H-O","CB-M-O",2,0,0,0,0,0,2,0,0,0,0
"38","CB-H-I","CB-H-O","CH-H-O",2,1,0,0,1,0,1,0,0,0.45,0.9
"39","CB-H-I","CB-H-O","CH-L-I",2,1,1,0,0,0,0,1,0,0.35,0.7
"40","CB-H-I","CB-H-O","CH-L-M",2,2,1,0,1,0,0,0,0,0.45,0.9
"41","CB-H-I","CB-H-O","CH-L-O",2,1,0,0,1,0,0,1,0,0.35,0.7
"42","CB-H-I","CB-H-O","CH-M-I",1,1,1,0,0,0,0,0,0,0,0
"43","CB-H-I","CB-H-O","CH-M-O",1,1,0,1,0,0,0,0,0,0.9,0.9
"44","CB-H-I","CB-H-O","FB-H-I",2,1,0,0,0,1,0,0,0,0.35,0.7
"45","CB-H-I","CB-H-O","FB-H-M",9,5,1,1,1,2,3,1,0,0.316666666666667,2.85
"46","CB-H-I","CB-H-O","FB-H-O",17,8,1,4,2,1,6,3,1,0.452941176470588,7.7
"47","CB-H-I","CB-H-O","FB-L-I",9,5,1,1,2,1,3,1,0,0.377777777777778,3.4
"48","CB-H-I","CB-H-O","FB-L-M",2,2,1,1,0,0,0,0,1,1,2
"49","CB-H-I","CB-H-O","FB-L-O",4,2,0,2,0,0,2,0,0,0.225,0.9
"50","CB-H-I","CB-H-O","FB-M-I",8,6,0,5,0,1,2,0,0,0.1125,0.9
"51","CB-H-I","CB-H-O","FB-M-M",7,7,3,2,1,1,0,0,1,0.414285714285714,2.9
"52","CB-H-I","CB-H-O","FB-M-O",6,2,0,1,1,0,2,2,0,0.383333333333333,2.3
"53","CB-H-I","CB-H-O","SL-H-I",3,2,0,0,2,0,0,1,0,0.95,2.85
"54","CB-H-I","CB-H-O","SL-H-M",3,2,0,2,0,0,0,1,0,0.233333333333333,0.7
"55","CB-H-I","CB-H-O","SL-H-O",1,0,0,0,0,0,0,1,0,0.7,0.7
"56","CB-H-I","CB-H-O","SL-L-I",1,0,0,0,0,0,1,0,0,0,0
"57","CB-H-I","CB-H-O","SL-L-O",1,0,0,0,0,0,0,1,0,0.7,0.7
"58","CB-H-I","CB-H-O",NA,6,6,2,3,1,0,0,0,0,0.45,2.7
"59","CB-H-I","CB-L-I","CB-H-I",2,1,0,1,0,0,1,0,0,0,0
"60","CB-H-I","CB-L-I","CB-H-M",3,2,1,0,1,0,1,0,0,0,0
"61","CB-H-I","CB-L-I","CB-H-O",4,4,0,3,1,0,0,0,0,0,0
"62","CB-H-I","CB-L-I","CB-L-I",17,7,2,3,1,1,10,0,0,0.126470588235294,2.15
"63","CB-H-I","CB-L-I","CB-L-M",9,7,1,3,3,0,2,0,0,0.1,0.9
"64","CB-H-I","CB-L-I","CB-L-O",5,1,0,1,0,0,4,0,0,0,0
"65","CB-H-I","CB-L-I","CB-M-I",5,4,0,1,0,3,1,0,0,0,0
