First Two Pitches,PA,BBE,Fly_Ball,Ground_Ball,Line_Drive,Pop_Up,Strikeout,Walk,HR,wOBA
"FB,FB",335980,229413,22.8%,48.3%,21.7%,7.2%,23.2%,7.5%,2.3%,.304
"FB,CB",49140,32126,22.6%,48.6%,22.2%,6.6%,26.7%,7.0%,2.4%,.296
"FB,SL",131547,87640,23.9%,46.5%,22.0%,7.6%,25.3%,7.3%,2.5%,.296
"FB,CH",31976,21732,22.8%,47.8%,22.2%,7.2%,23.0%,8.0%,3.1%,.325
"CB,FB",45161,30799,24.1%,46.2%,22.7%,7.0%,22.0%,8.6%,2.9%,.327
"CB,CB",22315,14075,22.8%,47.9%,21.8%,7.6%,26.8%,9.1%,2.4%,.304
"CB,SL",15795,10809,24.1%,45.9%,22.7%,7.3%,22.8%,7.9%,2.9%,.319
"CB,CH",6481,4260,22.5%,46.6%,22.6%,8.3%,23.6%,9.5%,3.5%,.345
"SL,FB",111504,75055,24.3%,45.2%,22.5%,8.0%,23.3%,8.1%,2.7%,.316
"SL,CB",13146,8677,23.9%,46.7%,22.1%,7.4%,26.6%,6.5%,2.6%,.295
"SL,SL",101749,65948,25.1%,44.8%,22.0%,8.1%,26.2%,8.2%,2.6%,.298
"SL,CH",10579,7113,24.0%,46.1%,22.2%,7.7%,23.2%,8.4%,2.9%,.321
"CH,FB",15115,10507,23.5%,46.6%,22.1%,7.7%,21.3%,7.9%,2.9%,.330
"CH,CB",2201,1464,23.7%,47.4%,22.2%,6.7%,24.5%,8.0%,3.3%,.320
"CH,SL",5327,3641,26.4%,45.1%,21.1%,7.4%,22.3%,8.4%,2.9%,.321
"CH,CH",7912,5245,23.4%,47.4%,21.8%,7.4%,24.1%,8.6%,2.9%,.317
