"","Pitch_Sequence_01","Pitch_Sequence_02","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"1","CB-H-I","CB-H-I",30,19,4,10,3,2,7,4,1,0.315,9.45
"2","CB-H-I","CB-H-M",41,35,10,16,6,3,3,2,1,0.240243902439024,9.85
"3","CB-H-I","CB-H-O",108,64,15,27,15,7,29,14,3,0.342592592592593,37
"4","CB-H-I","CB-L-I",199,130,32,63,24,11,49,19,7,0.296733668341709,59.05
"5","CB-H-I","CB-L-M",108,65,15,31,14,5,28,14,2,0.29212962962963,31.55
"6","CB-H-I","CB-L-O",59,36,4,18,9,5,18,5,0,0.278813559322034,16.45
"7","CB-H-I","CB-M-I",62,36,13,11,4,8,17,9,1,0.281451612903226,17.45
"8","CB-H-I","CB-M-M",56,44,15,20,6,3,8,3,2,0.307142857142857,17.2
"9","CB-H-I","CB-M-O",55,37,8,18,10,1,13,5,1,0.338181818181818,18.6
"10","CB-H-I","CH-H-I",12,10,2,4,3,1,2,0,1,0.629166666666667,7.55
"11","CB-H-I","CH-H-M",23,20,6,8,5,1,3,0,1,0.445652173913043,10.25
"12","CB-H-I","CH-H-O",84,57,23,18,13,3,16,10,6,0.467261904761905,39.25
"13","CB-H-I","CH-L-I",78,56,14,28,9,5,15,6,2,0.254487179487179,19.85
"14","CB-H-I","CH-L-M",119,84,22,38,17,7,26,7,3,0.349159663865546,41.55
"15","CB-H-I","CH-L-O",171,124,30,64,24,6,32,12,6,0.257602339181287,44.05
"16","CB-H-I","CH-M-I",16,11,5,3,2,1,2,2,2,0.5375,8.6
"17","CB-H-I","CH-M-M",50,42,12,16,12,2,8,0,1,0.359,17.95
"18","CB-H-I","CH-M-O",98,68,19,31,12,6,20,9,2,0.267857142857143,26.25
"19","CB-H-I","FB-H-I",228,154,47,58,27,22,50,21,7,0.315350877192982,71.9
"20","CB-H-I","FB-H-M",144,92,21,25,30,16,34,15,5,0.3625,52.2
"21","CB-H-I","FB-H-O",265,170,50,77,34,9,66,28,7,0.335094339622642,88.8
"22","CB-H-I","FB-L-I",193,132,40,50,33,9,45,14,6,0.284715025906736,54.95
"23","CB-H-I","FB-L-M",111,75,17,31,22,5,28,8,1,0.277027027027027,30.75
"24","CB-H-I","FB-L-O",155,108,23,49,31,5,29,16,2,0.332903225806452,51.6
"25","CB-H-I","FB-M-I",144,96,24,36,27,9,36,11,4,0.339583333333333,48.9
"26","CB-H-I","FB-M-M",90,72,19,32,18,3,16,1,4,0.347777777777778,31.3
"27","CB-H-I","FB-M-O",182,124,31,56,26,11,42,15,3,0.270879120879121,49.3
"28","CB-H-I","SL-H-I",63,43,6,23,12,2,14,4,1,0.374603174603175,23.6
"29","CB-H-I","SL-H-M",25,17,4,6,4,3,6,2,0,0.128,3.2
"30","CB-H-I","SL-H-O",32,21,7,9,4,1,9,2,2,0.303125,9.7
"31","CB-H-I","SL-L-I",115,74,19,33,15,7,34,6,4,0.305652173913044,35.15
"32","CB-H-I","SL-L-M",25,16,2,12,2,0,6,2,1,0.308,7.7
"33","CB-H-I","SL-L-O",22,18,3,9,6,0,4,0,0,0.334090909090909,7.35
"34","CB-H-I","SL-M-I",53,40,13,11,14,2,8,4,2,0.395283018867925,20.95
"35","CB-H-I","SL-M-M",23,21,4,9,6,2,2,0,0,0.289130434782609,6.65
"36","CB-H-I","SL-M-O",21,13,2,5,5,1,7,1,0,0.247619047619048,5.2
"37","CB-H-I",NA,156,136,36,55,27,18,0,0,3,0.377884615384615,58.95
"38","CB-H-M","CB-H-I",43,22,8,8,4,2,13,8,3,0.390697674418605,16.8
"39","CB-H-M","CB-H-M",58,42,14,19,3,6,13,3,2,0.306034482758621,17.75
"40","CB-H-M","CB-H-O",197,130,37,58,28,7,45,21,2,0.31243654822335,61.55
"41","CB-H-M","CB-L-I",377,210,49,95,49,17,132,31,2,0.247214854111406,93.2
